 ,statussummary,status,asm,jira,sample,accession,species,coi,organelle,uli,sts_priority,common name,sex,genomic sex,ploidy,taxon,genus,family,family_taxon,order,phylum,BioSample,BioProject,darwin,vgp_orders,vgp_plus,asg,erga-pilot,erga-bge,tol,25g,psyche,bat1k,aegis,nematodes,britain&ireland,dnazoo,cichlids,BADASS,filr,rodents,jiggins,meier,jaron,murchison,millport,cetacean,R&D,protist-microalgae,UKbutterflies,sts size (Mb),est. size (Mb),htzgy (%),rep frac (%),long read cov (gscope),long read cov (sts),10XG cov (gscope),10XG cov (sts),last_data,sts pacbio status (new),sts hic status (new),hic_from,PacBio,ONT,10XG,Htag,BioNano,HiC,RNAseq,IsoSeq,raw data sub,submission todo,runs,contig N50 (Mb),contig count,scaffold N50 (Mb),"scaffold	count",longest (Mb),length (Mb),BUSCO,QV,completeness,pipeline status,doi,notes,"Calculated, for Family_TXID_Pivot"
,1 submitted,11_published,tolpipe,RC-367,iyCoeConi1,GCA_947623535.1,Coelioxys conoideus,3,3,,,,U,,,2922063,Coelioxys,Megachilidae,124286,Hymenoptera,Arthropoda,SAMEA14448263,PRJEB55747,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,812,379,0.1,29,41,20,,,2022-08-20,IN_PROGRESS,COMPLETE,iyCoeConi1,●,,,,,●,●,,3,done,"ERR10149566,ERR10168733",4.88,155,23.23,65,37.00,418,"C:99.3%[S:99.2%,D:0.1%],F:0.1%,M:0.6%,n:1367",66.1,99.3,hifiasm-0.16.1-r375+purge+yahs,10.12688/wellcomeopenres.19507.1,,"Megachilidae,124286"
,1 submitted,11_published,mu2,RC-63,iyDolSylv1,GCA_918808275.2,Dolichovespula sylvestris,3,3,,,tree wasp,M,,1,85444,Dolichovespula,Vespidae,7438,Hymenoptera,Arthropoda,SAMEA7746475,PRJEB46852,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,313,208,0.4,18,27,20,175,262,2020-08-18,COMPLETE,COMPLETE,iyDolSylv1,●,,●,,,●,●,,3,done,"ERR6688640,ERR6688641,ERR6688642,ERR6688643,ERR6688644,ERR6808023",1.25,375,5.62,162,10.20,225,"C:99.0%[S:98.6%,D:0.4%],F:0.2%,M:0.8%,n:1367",58.0,95.5,hifiasm-0.15.1-r334+purge+mito+polish+salsa,10.12688/wellcomeopenres.17783.1,,"Vespidae,7438"
,1 submitted,11_published,kk16,RC-55,iyIchXant1,GCA_917499995.1,Ichneumon xanthorius,3,3,,,,F,,,2795680,Ichneumon,Ichneumonidae,7408,Hymenoptera,Arthropoda,SAMEA7746465,PRJEB46331,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,139,298,0.4,27,55,126,62,327,2021-06-28,COMPLETE,COMPLETE,iyIchXant1,●,,●,,,●,●,,3,done,"ERR6688585,ERR6688586,ERR6688587,ERR6688588,ERR6688589,ERR6808013",4.10,370,12.80,223,21.20,315,"C:99.5%[S:99.1%,D:0.4%],F:0.1%,M:0.4%,n:1367",52.4,93.0,hifiasm-0.15.3-r339+purge,10.12688/wellcomeopenres.17683.1,,"Ichneumonidae,7408"
,1 submitted,11_published,cz3,RC-17,iyLasLatv2,GCA_916610255.1,Lasioglossum lativentre,3,3,,,furry-claspered furrow bee,F,,,88531,Lasioglossum,Halictidae,77572,Hymenoptera,Arthropoda,SAMEA7746765,PRJEB46299,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,540,0.1,48,34,,54,,2021-05-25,COMPLETE,COMPLETE,iyLasLatv1,●,,●,,,●,,,3,done,"ERR6688420,ERR6688421,ERR6688422,ERR6688423,ERR6688424,ERR6939226",4.03,"1,511",16.15,"1,255",41.59,489,"C:99.1%[S:98.4%,D:0.7%],F:0.3%,M:0.6%,n:1367",48.9,93.6,hifiasm+purge+polish+mito+salsa,10.12688/wellcomeopenres.17706.1,,"Halictidae,77572"
,1 submitted,11_published,cz3,RC-18,iyLasMori1,GCA_916610235.2,Lasioglossum morio,3,3,,,common green furrow bee,M,"and clearly visible in the Hi-C contact map,",1,88514,Lasioglossum,Halictidae,77572,Hymenoptera,Arthropoda,SAMEA7746456,PRJEB46298,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,554,496,0.1,46,35,36,51,128,2021-06-16,COMPLETE,COMPLETE,iyLasMori2,●,,●,,,●,,,3,done,"ERR6688415,ERR6688416,ERR6688417,ERR6688418,ERR6688419,ERR6939225",7.74,634,14.06,587,80.87,507,"C:99.0%[S:98.3%,D:0.7%],F:0.4%,M:0.6%,n:1367",54.4,92.3,hifiasm+purge+polish+mito+salsa,10.12688/wellcomeopenres.18715.1,,"Halictidae,77572"
,1 submitted,11_published,kk16,RC-39,iyMacEuro1,GCA_916610135.2,Macropis europaea,3,3,,,yellow loosestrife bee,M,,1,253715,Macropis,Melittidae,156323,Hymenoptera,Arthropoda,SAMEA7746440,PRJEB46314,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,469,0.1,33,30,,55,,2021-05-25,COMPLETE,COMPLETE,iyMacEuro1,●,,●,,,●,●,,3,done,"ERR6688500,ERR6688501,ERR6688502,ERR6688503,ERR6688504,ERR6939238",8.40,"2,462",20.80,"2,170",52.90,543,"C:99.5%[S:99.3%,D:0.2%],F:0.1%,M:0.4%,n:1367",52.2,94.3,hifiasm-0.15.1-r334+purge+mito+polish+salsa,10.12688/wellcomeopenres.17787.1,,"Melittidae,156323"
,1 submitted,11_published,ng13,RC-247,iyRhoChlo1,GCA_944452935.1,Rhogogaster chlorosoma,3,3,,,narrow-striped Rhogogaster,F,,2,1385029,Rhogogaster,Tenthredinidae,27532,Hymenoptera,Arthropoda,SAMEA10167069,PRJEB52861,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,310,243,0.6,24,74,61,,,2022-04-25,COMPLETE,COMPLETE,iyRhoChlo1,●,,,,,●,●,,3,done,"ERR9767807,ERR9793197",13.33,50,22.39,38,41.96,258,"C:99.8%[S:98.6%,D:1.2%],F:0.0%,M:0.2%,n:1367",66.5,99.6,hifiasm-0.16.1-r375+purge+yahs,10.12688/wellcomeopenres.18924.1,,"Tenthredinidae,27532"
,1 submitted,11_published,kk16,RC-13,iySelTumu1,GCA_913789895.3,Seladonia tumulorum,3,3,,,bronze furrow bee,M,,1,115100,Seladonia,Halictidae,77572,Hymenoptera,Arthropoda,SAMEA7746445,PRJEB45675,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,554,401,0.1,31,58,,93,142,2022-02-10,COMPLETE,COMPLETE,iySelTumu2,●,,●,,,●,●,,3,done,"ERR6363322,ERR6363323,ERR6363324,ERR6363325,ERR6363326,ERR6807989",31.80,92,17.30,77,37.20,473,"C:99.4%[S:98.0%,D:1.4%],F:0.1%,M:0.5%,n:1367",58.5,97.2,hifiasm+purge+polish+mito+salsa,10.12688/wellcomeopenres.17784.1,,"Halictidae,77572"
,1 submitted,11_published,kk16,RC-11,iySphMoni1,GCA_913789915.3,Sphecodes monilicornis,3,3,,,box-headed blood bee,M,,1,1190790,Sphecodes,Halictidae,77572,Hymenoptera,Arthropoda,SAMEA7746755,PRJEB45672,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,717,513,0.0,26,34,,80,115,2021-05-27,COMPLETE,COMPLETE,iySphMoni1,●,,●,,,●,●,,3,done,"ERR6363305,ERR6363306,ERR6363307,ERR6363308,ERR6363309,ERR6939223",7.40,628,23.70,504,37.10,495,"C:99.1%[S:98.8%,D:0.3%],F:0.3%,M:0.6%,n:1367",52.9,97.5,hifiasm+purge+polish+mito+salsa,10.12688/wellcomeopenres.17786.1,,"Halictidae,77572"
,1 submitted,11_published,kk16,RC-229,iyStePhae1,GCA_943735885.1,Stelis phaeoptera,3,3,,,plain dark bee,F,,2,2249760,Stelis,Megachilidae,124286,Hymenoptera,Arthropoda,SAMEA10978746,PRJEB52657,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,657,265,0.5,22,79,33,,,2022-04-26,COMPLETE,COMPLETE,iyStePhae1,●,,,,,●,●,,3,done,"ERR9714291,ERR9793193",13.40,204,13.80,187,23.16,301,"C:99.1%[S:99.0%,D:0.1%],F:0.2%,M:0.7%,n:1367",64.4,99.0,hifiasm-0.16.1-r375+purge+yahs,10.12688/wellcomeopenres.18876.1,,"Megachilidae,124286"
,1 submitted,11_published,ng13,RC-242,iyTenMeso1,GCA_943736025.1,Tenthredo mesomela,3,3,,,common green-Tenthredo,F,,2,222778,Tenthredo,Tenthredinidae,27532,Hymenoptera,Arthropoda,SAMEA10167061,PRJEB52925,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,310,356,0.6,41,60,73,,,2022-04-05,COMPLETE,COMPLETE,iyTenMeso2,●,,,,,●,●,,3,done,"ERR9767809,ERR9793198",3.42,253,29.44,102,62.52,399,"C:99.8%[S:99.3%,D:0.5%],F:0.0%,M:0.2%,n:1367",62.7,98.6,hifiasm-0.16.1-r375+purge+yahs,10.12688/wellcomeopenres.18992.1,,"Tenthredinidae,27532"
,1 submitted,11_published,kk16,RC-25,iyTenNoth1,GCA_914767705.2,Tenthredo notha,3,3,,,,U,,,362091,Tenthredo,Tenthredinidae,27532,Hymenoptera,Arthropoda,SAMEA7746761,PRJEB46306,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,223,0.8,21,77,,262,,2021-06-16,COMPLETE,COMPLETE,iyTenNoth1,●,,●,,,●,●,,3,done,"ERR6688454,ERR6688455,ERR6688456,ERR6688457,ERR6688458,ERR6939232",6.40,112,11.40,92,19.70,266,"C:99.8%[S:99.0%,D:0.8%],F:0.1%,M:0.1%,n:1367",57.2,98.0,hifiasm-0.15.1-r334+purge+mito+polish+salsa,10.12688/wellcomeopenres.17811.1,,"Tenthredinidae,27532"
,1 submitted,11_published,dp24,GRIT-570,iyTipFemo1,GCA_944319695.1,Tiphia femorata,3,3,,,beetle killing wasp,F,,2,330862,Tiphia,Tiphiidae,92421,Hymenoptera,Arthropoda,SAMEA7520499,PRJEB51917,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,313,303,0.4,25,75,77,,,2020-11-03,COMPLETE,COMPLETE,iyTipFemo1,●,,,,,●,●,,3,done,"ERR9435037,ERR9467445",12.51,134,24.28,110,32.35,289,"C:99.5%[S:99.1%,D:0.4%],F:0.1%,M:0.4%,n:1367",63.7,98.2,hifiasm-0.16.1-r375+purge+yahs,10.12688/wellcomeopenres.18893.1,,"Tiphiidae,92421"
,1 submitted,11_published,kk16,GRIT-384,iyVesCrab1,GCA_910589235.2,Vespa crabro,3,3,,,European hornet,F,,,7445,Vespa,Vespidae,7438,Hymenoptera,Arthropoda,SAMEA7520500,PRJEB45175,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,261,246,0.4,35,70,,104,584,2020-09-08,COMPLETE,COMPLETE,"iyVesCrab1,iyVesCrab2",●,,●,,,●,●,,3,done,"ERR6054851,ERR6054852,ERR6054853,ERR6054854,ERR6054855,ERR6054856,ERR6054857,ERR6054858,ERR6054859,ERR6406214,ERR6608657,ERR6608658",3.00,214,4.60,181,9.70,230,"C:99.2%[S:99.1%,D:0.1%],F:0.1%,M:0.7%,n:1367",43.6,,hicanu+MitoHifiv2+polish+salsa,10.12688/wellcomeopenres.17546.1,,"Vespidae,7438"
,1 submitted,11_published,kk16,GRIT-318,iyVesGerm1,GCA_905340365.1,Vespula germanica,3,3,,,German wasp,F,,,30212,Vespula,Vespidae,7438,Hymenoptera,Arthropoda,SAMEA7520501,PRJEB43741,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,225,193,0.2,12,72,,181,275,2020-09-08,COMPLETE,COMPLETE,COMPLETE,●,,●,,,●,●,,3,done,,6.56,82,8.64,72,17.90,207,"C:99.4%[S:99.2%,D:0.2%],F:0.3%,M:0.3%,n:1658",,,hifiasm+purge+polish+mito+salsa,10.12688/wellcomeopenres.17703.1,,"Vespidae,7438"
,1 submitted,11_published,kk16,GRIT-301,iyVesVulg1,GCA_905475345.1,Vespula vulgaris,3,3,,,common wasp,F,,,7454,Vespula,Vespidae,7438,Hymenoptera,Arthropoda,SAMEA7520502,PRJEB43808,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,196,193,0.2,12,87,,190,320,2021-12-07,COMPLETE,COMPLETE,iyVesVulg1,●,,●,,,●,●,,3,done,,8.52,137,8.50,145,15.80,190,"C:99.5%[S:99.2%,D:0.3%],F:0.1%,M:0.4%,n:1658",,,hifiasm+purge+polish+mito+salsa,10.12688/wellcomeopenres.17205.1,,"Vespidae,7438"
,1 submitted,11_published,mu2,GRIT-475,jaDiaLine6,GCA_918843875.1,Diadumene lineata,3,3,,,orange-striped anemone,U,,,1789172,Diadumene,Diadumenidae,478428,Actiniaria,Cnidaria,SAMEA7536572,PRJEB46855,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,448,314,1.3,34,27,19,82,115,2021-03-22,COMPLETE,COMPLETE,jaDiaLine7,●,,●,,,●,●,,3,done,"ERR6688655,ERR6688656,ERR6688657,ERR6688658,ERR6688659,ERR6808024",2.87,365,8.76,237,29.12,317,"C:96.1%[S:95.6%,D:0.5%],F:2.0%,M:1.9%,n:954",54.9,94.3,hifiasm-0.15.3-r339+purge,10.12688/wellcomeopenres.17763.1,,"Diadumenidae,478428"
,1 submitted,11_published,cz3,RC-149,jaNemVect1,GCA_932526225.1,Nematostella vectensis,3,3,,,,H,,,45351,Nematostella,Edwardsiidae,45349,Actiniaria,Cnidaria,SAMEA8534429,PRJEB50792,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,279,264,0.8,38,53,53,,,2021-10-23,COMPLETE,COMPLETE,jaNemVect6,●,,,,,●,●,,3,done,"ERR8571699,ERR8575398",2.93,228,17.63,105,40.07,271,"C:94.7%[S:94.1%,D:0.6%],F:2.5%,M:2.8%,n:954",58.3,98.2,hifiasm-0.16.1-r375+purge+yahs,10.12688/wellcomeopenres.18991.1,,"Edwardsiidae,45349"
,1 submitted,11_published,mu2,GRIT-360,jrHalOcto1,GCA_916610825.1,Haliclystus octoradiatus,3,3,,,spotted kaleidoscope jellyfish,U,,,313498,Haliclystus,Kishinouyeidae,1927917,Gigartinales,Cnidaria,SAMEA7522858,PRJEB45172,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,256,0.6,32,68,,147,,2020-12-24,COMPLETE,COMPLETE,jrHalOcto1,●,,●,,,●,●,,3,done,,1.44,407,15.15,208,33.21,275,"C:83.5%[S:82.4%,D:1.1%],F:4.9%,M:11.6%,n:978",54.7,,hicanu+purgeE+polish+mito+salsa,10.12688/wellcomeopenres.18669.1,,"Kishinouyeidae,1927917"
,1 submitted,11_published,mu2,GRIT-392,kaAplTurb1,GCA_918807975.1,Aplidium turbinatum,3,3,,,(a colonial sea squirt),H,,,2771288,Aplidium,Polyclinidae,201955,Aplousobranchia,Chordata,SAMEA7536566,PRJEB45189,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,601,0.8,44,65,,85,,2020-10-15,COMPLETE,COMPLETE,kaAplTurb1,●,,●,,,●,●,,3,done,"ERR6286724,ERR6286725,ERR6286726,ERR6286727,ERR6286728,ERR6412042,ERR6412043",14.92,258,34.25,203,66.37,615,"C:93.3%[S:88.2%,D:5.1%],F:3.2%,M:3.5%,n:954 ",49.0,,hifiasm014+mitov2.10+purge2E+polish+scaff,10.12688/wellcomeopenres.17785.1,,"Polyclinidae,201955"
,1 submitted,11_published,sm15,GRIT-317,mCanLor1,GCA_905319855.2,Canis lupus,3,3,,,Greenland wolf,M,,,9612,Canis,Canidae,9608,Carnivora,Chordata,SAMEA7532739,PRJEB43409,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,"2,900","2,318",0.3,11,28,,74,94,2020-11-24,COMPLETE,COMPLETE,mCanLor1,●,,●,,,●,●,,3,done,,35.09,428,56.75,319,123.65,"2,455","C:95.8%[S:94.6%,D:1.2%],F:2.0%,M:2.2%,n:4104",,,hifiasm+purge+polish+mito+salsa,10.12688/wellcomeopenres.17332.1,,"Canidae,9608"
,1 submitted,11_published,mu2,GRIT-387,mCerEla1,GCA_910594005.1,Cervus elaphus,3,3,,,red deer,F,,,9860,Cervus,Cervidae,9850,Artiodactyla,Chordata,SAMEA7523520,PRJEB45171,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,"3,059","2,873",0.3,26,30,,26,38,,COMPLETE,COMPLETE,mCerEla1,●,,●,,,●,,,3,done,,63.76,388,71.62,357,150.34,"3,160","C:95.0%[S:92.6%,D:2.4%],F:2.4%,M:2.6%,n:4104",55.0,,hifiasm+purge+polish+mito+salsa,10.12688/wellcomeopenres.17493.1,,"Cervidae,9850"
,1 submitted,11_published,cz3,GRIT-451,mMelMel3.mat,GCA_922990625.1,Meles meles,3,3,,,European badger,M,,,9662,Meles,Mustelidae,9655,Carnivora,Chordata,SAMEA7524400,PRJEB46333,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,"2,608",0.2,18,39,,56,,,UNKNOWN,UNKNOWN,mMelMel3,●,●,●,,●,●,●,,3,done; ont; htag,"ERR6688402,ERR6688595,ERR6688596,ERR6688597,ERR6688598,ERR6688599,ERR6688600,ERR6688601,ERR6688602,ERR6688603,ERR6688604,ERR6808015,ERR6808016,ERR6939248,ERR6939249,ERR6939250",65.75,754,118.70,727,210.85,"2,693","C:96.7%[S:95.0%,D:1.7%],F:0.7%,M:2.6%,n:9226",49.5,97.1,hifiasm.trio+mito+salsa,10.12688/wellcomeopenres.18230.1,,"Mustelidae,9655"
,1 submitted,11_published,cz3,GRIT-450,mMelMel3.pat,GCA_922984935.2,Meles meles,3,3,,,European badger,M,,,9662,Meles,Mustelidae,9655,Carnivora,Chordata,SAMEA7524400,PRJEB46333,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,"2,608",0.2,18,39,,56,,,UNKNOWN,UNKNOWN,mMelMel3,●,●,●,,●,●,●,,3,done; ont; htag,"ERR6688402,ERR6688595,ERR6688596,ERR6688597,ERR6688598,ERR6688599,ERR6688600,ERR6688601,ERR6688602,ERR6688603,ERR6688604,ERR6808015,ERR6808016,ERR6939248,ERR6939249,ERR6939250",75.21,637,109.97,617,210.73,"2,662","C:95.5%[S:93.8%,D:1.7%],F:0.7%,M:3.8%,n:9226",57.7,95.1,hifiasm.trio+mito+salsa,10.12688/wellcomeopenres.18230.1,,"Mustelidae,9655"
,1 submitted,11_published,mu2,RC-200,mOrcOrc1,GCA_937001465.1,Orcinus orca,3,3,,,killer whale,F,,,9733,Orcinus,Delphinidae,9726,Artiodactyla,Chordata,SAMEA8800229,PRJEB51334,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,"3,081","2,808",0.2,28,34,32,,,2021-09-04,COMPLETE,UNKNOWN,,●,,,,,●,●,,3,done; (hic from dnazoo),"ERR9127947,ERR9127948,ERR9127949,ERR9127950,ERR9127951,SRR8616847,SRR8616848",45.58,568,105.56,519,188.95,"2,647","C:95.4%[S:93.0%,D:2.4%],F:1.2%,M:3.4%,n:9226",65.2,99.1,hifiasm-0.16.1-r375+purge+yahs,10.12688/wellcomeopenres.18278.1,,"Delphinidae,9726"
,1 submitted,11_published,sm15,GRIT-221,mRatBN7,GCA_015227675.2,Rattus norvegicus,3,3,,,Norway rat,M,,,10116,Rattus,Muridae,10066,Rodentia,Chordata,SAMN16261960,PRJNA662962,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,"3,599",0.2,40,80,,31,,2019-11-24,UNKNOWN,UNKNOWN,,●,,●,,●,●,,,3,done,,29.66,752,135.04,175,260.60,"2,648","C:95.0%[S:93.3%,D:1.7%],F:2.8%,M:2.2%,n:4104",41.0,,Submitted,10.12688/wellcomeopenres.16854.1,,"Muridae,10066"
,1 submitted,11_published,ea10,GRIT-216,pEimTen1,GCA_905310635.1,Eimeria tenella,,3,,,Coccidian parasite,NA,,,5802,Eimeria,Eimeriidae,5799,Eucoccidiorida,Apicomplexa,SAMEA7524401,PRJEB43130,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,,171,62,0.1,35,41,,107,188,2022-02-22,COMPLETE,COMPLETE,pEimTen1,●,,●,,,●,,,3,done,,1.64,63,4.01,17,6.78,53,,,,canu (eerik),10.12688/wellcomeopenres.17100.1,,"Eimeriidae,5799"
,1 submitted,11_published,mu2,GRIT-519,qqMetBour1,GCA_933210815.1,Meta bourneti,3,3,,,,M,,,1926196,Meta,Tetragnathidae,27394,Araneae,Arthropoda,SAMEA9066041,PRJEB48587,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,"1,351","1,371",0.4,34,25,27,48,80,2021-10-25,COMPLETE,COMPLETE,qqMetBour1,●,,●,,,●,,,3,done,"ERR7253235,ERR7253236,ERR7253237,ERR7253238,ERR7253239,ERR7254654,ERR7254655",8.29,961,99.77,689,117.56,"1,384","C:98.4%[S:94.2%,D:4.2%],F:0.8%,M:0.8%,n:1013",55.1,97.4,hifiasm-0.15.3-r339+purge+polish+yahs,10.12688/wellcomeopenres.18638.1,,"Tetragnathidae,27394"
,1 submitted,11_published,tolpipe,RC-359,qqMetSegm1,GCA_947359465.1,Metellina segmentata,3,3,3,,,M,,,94026,Metellina,Tetragnathidae,27394,Araneae,Arthropoda,SAMEA7696460,PRJEB55727,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,"1,351","1,546",1.4,36,27,33,,,2022-08-26,COMPLETE,COMPLETE,qqMetSegm2,●,,,,,●,,,3,done,"ERR10149548,ERR10168718,ERR10168719,ERR10168720",3.43,"1,085",126.98,222,141.10,"1,670","C:98.0%[S:93.7%,D:4.3%],F:1.0%,M:1.0%,n:1013",59.5,98.7,hifiasm-0.16.1-r375+purge+yahs,10.12688/wellcomeopenres.19435.1,,"Tetragnathidae,27394"
,1 submitted,11_published,tolpipe,RC-482,qqParLuna2,GCA_949128135.1,Parasteatoda lunata,3,3,,,,F,,,1871986,Parasteatoda,Theridiidae,34643,Araneae,Arthropoda,SAMEA110034684,PRJEB57892,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,"1,369","1,633",0.6,41,31,39,,,2022-11-19,COMPLETE,COMPLETE,qqParLuna1,●,,,,,●,●,,3,done,"ERR10614872,ERR10662017,ERR10662018",3.51,"1,060",104.89,496,119.80,"1,420","C:98.2%[S:94.4%,D:3.8%],F:0.7%,M:1.1%,n:1013",59.3,98.2,hifiasm-0.16.1-r375+purge+yahs,10.12688/wellcomeopenres.19585.1,,"Theridiidae,34643"
,1 submitted,11_published,mu2,GRIT-397,qxSacCarc1,GCA_916048095.2,Sacculina carcini,3,1,,,crab hacker barnacle,F,,,51650,Sacculina,Sacculinidae,38011,Kentrogonida,Arthropoda,SAMEA7522840,PRJEB45193,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,267,2.0,51,58,,-,,2020-11-04,COMPLETE,COMPLETE,qxSacCarc1,●,,●,,,●,●,,3,done,"ERR6286729,ERR6286730,ERR6286731,ERR6286732,ERR6286733,ERR6412044",3.48,321,7.27,231,14.78,278,"C:99.6%[S:99.0%,D:0.6%],F:0.1%,M:0.3%,n:1013",45.6,,hifiasm+purge2+polish+scaff,10.12688/wellcomeopenres.18936.1,,"Sacculinidae,38011"
,1 submitted,11_published,mu2,GRIT-361,tnLinLong1,GCA_910592395.2,Lineus longissimus,3,3,,,bootlace worm,U,,,88925,Lineus,Lineidae,6222,Heteronemertea,Nemertea,SAMEA7522833,PRJEB45185,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,"1,369",377,1.5,32,79,,107,50,2021-03-24,COMPLETE,COMPLETE,tnLinLong1,●,,●,,,●,●,,3,done,"ERR6054914,ERR6054915,ERR6054916,ERR6054917,ERR6054918,ERR6412039,ERR6436382,ERR6436383",9.91,163,13.63,132,30.06,400,"C:96.2%[S:95.5%,D:0.7%],F:0.6%,M:3.2%,n:978",56.6,,hifiasm+purgeE+polish+scaff+mitov2,10.12688/wellcomeopenres.17193.1,,"Lineidae,6222"
,1 submitted,11_published,mu2,RC-176,tzBugStol2,GCA_935421135.1,Bugulina stolonifera,3,3,,,an erect bryozoan,H,,,192920,Bugulina,Bugulidae,10210,Cheilostomatida,Bryozoa,SAMEA7536683,PRJEB51034,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,"1,565",236,1.2,25,52,9,99,23,2021-11-23,COMPLETE,COMPLETE,tzBugStol2,●,,●,,,●,●,,3,done,"ERR8702816,ERR8702817,ERR8702818,ERR8702819,ERR8702821,ERR8978458",11.16,126,19.55,101,36.81,249,"C:84.6%[S:80.6%,D:4.0%],F:6.9%,M:8.5%,n:954",47.9,97.9,hifiasm-0.15.3-r339+purge+polish+scaff,10.12688/wellcomeopenres.18775.1,,"Bugulidae,10210"
,1 submitted,11_published,kk16,GRIT-596,tzCryPall5,GCA_945261195.1,Cryptosula pallasiana,2,3,,,an encrusting bryozoan,H,,,558755,Cryptosula,Cryptosulidae,558762,Cheilostomatida,Bryozoa,SAMEA7536579,PRJEB53477,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,648,579,3.3,54,35,,54,,2021-03-22,COMPLETE,COMPLETE,"tzCryPall1,tzCryPall5",●,,●,,,●,●,,3,done (10x not used and did not use hic from txCryPall1),"ERR9863243,ERR9866429",1.56,"2,152",43.30,"1,286",59.95,687,"C:83.9%[S:80.5%,D:3.4%],F:8.1%,M:8.0%,n:954",57.6,97.6,hifiasm-0.16.1-r375+purgeE+yahs,10.12688/wellcomeopenres.19100.1,,"Cryptosulidae,558762"
,1 submitted,11_published,kk16,GRIT-406,tzMemMemb1,GCA_914767715.1,Membranipora membranacea,3,3,,,sea mat,H,,,95170,Membranipora,Membraniporidae,192924,Cheilostomatida,Bryozoa,SAMEA7536681,PRJEB45195,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,326,1.9,35,66,,173,,2021-03-22,COMPLETE,COMPLETE,tzMemMemb1,●,,●,,,●,●,,3,done; 36276_1#4 hic fail,,6.90,215,29.50,153,111.70,347,"C:82.3%[S:79.6%,D:2.7%],F:8.3%,M:9.4%,n:954",50.8,,hifiasm+purge+polish+mito+salsa,10.12688/wellcomeopenres.18855.1,,"Membraniporidae,192924"
,1 submitted,11_published,kk16,GRIT-546,wpLepClav1,GCA_936440205.1,Lepidonotus clava,3,3,,,(a scale worm),U,,,1210411,Lepidonotus,Polynoidae,46593,Phyllodocida,Annelida,SAMEA8724790,PRJEB50789,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,"1,809",970,4.0,29,48,29,32,34,2021-10-05,COMPLETE,COMPLETE,wpLepClav1,●,,●,,,●,●,,3,done; (10x used?),"ERR8571687,ERR8571688,ERR8571689,ERR8571690,ERR8571691,ERR8575393,ERR8575394,ERR8575395",7.00,"1,059",53.50,948,92.30,"1,059","C:96.3%[S:94.9%,D:1.4%],F:2.2%,M:1.5%,n:954",39.6,63.6,hifiasm-0.15.3-r339+purge,10.12688/wellcomeopenres.18660.1,,"Polynoidae,46593"
,1 submitted,11_published,kk16,GRIT-568,wpSthLimi1,GCA_942159475.1,Sthenelais limicola,1,3,,,(a segmented worm),U,,,1210413,Sthenelais,Sigalionidae,104728,Phyllodocida,Annelida,SAMEA8724794,PRJEB51037,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,"1,827",954,1.5,35,45,26,50,83,2021-10-05,COMPLETE,COMPLETE,wpSthLimi1,●,,●,,,●,●,,3,done; (10x not used - need to check bold hic),"ERR8702825,ERR8978461,ERR8978462,ERR8978463",13.10,"1,383",147.30,610,164.00,"1,207","C:95.8%[S:93.5%,D:2.3%],F:2.7%,M:1.5%,n:954",62.7,98.5,hifiasm-0.15.3-r339+purge+yahs,10.12688/wellcomeopenres.18856.1,,"Sigalionidae,104728"
